17,abdc,-17,86313
17,abdc,-15,225449
17,abdc,-13,690718
17,abdc,-11,1377888
17,abdc,-9,2685552
17,abdc,-7,4212742
17,abdc,-5,6123283
17,abdc,-3,7663997
17,abdc,-1,8651454
17,abdc,1,8651454
17,abdc,3,7663997
17,abdc,5,6123283
17,abdc,7,4212742
17,abdc,9,2685552
17,abdc,11,1377888
17,abdc,13,690718
17,abdc,15,225449
17,abdc,17,86313
17,acbd,-17,85990
17,acbd,-15,226392
17,acbd,-13,687483
17,acbd,-11,1374826
17,acbd,-9,2684921
17,acbd,-7,4194789
17,acbd,-5,6127175
17,acbd,-3,7637462
17,acbd,-1,8642676
17,acbd,1,8642676
17,acbd,3,7637462
17,acbd,5,6127175
17,acbd,7,4194789
17,acbd,9,2684921
17,acbd,11,1374826
17,acbd,13,687483
17,acbd,15,226392
17,acbd,17,85990
17,adcb,-17,61977
17,adcb,-15,238391
17,adcb,-13,607507
17,adcb,-11,1422992
17,adcb,-9,2516217
17,adcb,-7,4264879
17,adcb,-5,5926993
17,adcb,-3,7645696
17,adcb,-1,8524496
17,adcb,1,8524496
17,adcb,3,7645696
17,adcb,5,5926993
17,adcb,7,4264879
17,adcb,9,2516217
17,adcb,11,1422992
17,adcb,13,607507
17,adcb,15,238391
17,adcb,17,61977
17,bacd,-17,86313
17,bacd,-15,225449
17,bacd,-13,690718
17,bacd,-11,1377888
17,bacd,-9,2685552
17,bacd,-7,4212742
17,bacd,-5,6123283
17,bacd,-3,7663997
17,bacd,-1,8651454
17,bacd,1,8651454
17,bacd,3,7663997
17,bacd,5,6123283
17,bacd,7,4212742
17,bacd,9,2685552
17,bacd,11,1377888
17,bacd,13,690718
17,bacd,15,225449
17,bacd,17,86313
17,bcda,-17,48987
17,bcda,-15,230209
17,bcda,-13,590601
17,bcda,-11,1382409
17,bcda,-9,2511146
17,bcda,-7,4177807
17,bcda,-5,5928992
17,bcda,-3,7553660
17,bcda,-1,8485711
17,bcda,1,8485711
17,bcda,3,7553660
17,bcda,5,5928992
17,bcda,7,4177807
17,bcda,9,2511146
17,bcda,11,1382409
17,bcda,13,590601
17,bcda,15,230209
17,bcda,17,48987
17,bdac,-17,56846
17,bdac,-15,230902
17,bdac,-13,611237
17,bdac,-11,1386342
17,bdac,-9,2540758
17,bdac,-7,4197220
17,bdac,-5,5952928
17,bdac,-3,7588940
17,bdac,-1,8512669
17,bdac,1,8512669
17,bdac,3,7588940
17,bdac,5,5952928
17,bdac,7,4197220
17,bdac,9,2540758
17,bdac,11,1386342
17,bdac,13,611237
17,bdac,15,230902
17,bdac,17,56846
17,cadb,-17,56846
17,cadb,-15,230902
17,cadb,-13,611237
17,cadb,-11,1386342
17,cadb,-9,2540758
17,cadb,-7,4197220
17,cadb,-5,5952928
17,cadb,-3,7588940
17,cadb,-1,8512669
17,cadb,1,8512669
17,cadb,3,7588940
17,cadb,5,5952928
17,cadb,7,4197220
17,cadb,9,2540758
17,cadb,11,1386342
17,cadb,13,611237
17,cadb,15,230902
17,cadb,17,56846
17,cbad,-17,61977
17,cbad,-15,238391
17,cbad,-13,607507
17,cbad,-11,1422992
17,cbad,-9,2516217
17,cbad,-7,4264879
17,cbad,-5,5926993
17,cbad,-3,7645696
17,cbad,-1,8524496
17,cbad,1,8524496
17,cbad,3,7645696
17,cbad,5,5926993
17,cbad,7,4264879
17,cbad,9,2516217
17,cbad,11,1422992
17,cbad,13,607507
17,cbad,15,238391
17,cbad,17,61977
17,cdba,-17,32291
17,cdba,-15,209582
17,cdba,-13,585200
17,cdba,-11,1295269
17,cdba,-9,2520273
17,cdba,-7,4034702
17,cdba,-5,5904919
17,cdba,-3,7419371
17,cdba,-1,8399255
17,cdba,1,8399255
17,cdba,3,7419371
17,cdba,5,5904919
17,cdba,7,4034702
17,cdba,9,2520273
17,cdba,11,1295269
17,cdba,13,585200
17,cdba,15,209582
17,cdba,17,32291
17,dabc,-17,48987
17,dabc,-15,230209
17,dabc,-13,590601
17,dabc,-11,1382409
17,dabc,-9,2511146
17,dabc,-7,4177807
17,dabc,-5,5928992
17,dabc,-3,7553660
17,dabc,-1,8485711
17,dabc,1,8485711
17,dabc,3,7553660
17,dabc,5,5928992
17,dabc,7,4177807
17,dabc,9,2511146
17,dabc,11,1382409
17,dabc,13,590601
17,dabc,15,230209
17,dabc,17,48987
17,dbca,-17,31705
17,dbca,-15,208367
17,dbca,-13,580383
17,dbca,-11,1305128
17,dbca,-9,2498028
17,dbca,-7,4071123
17,dbca,-5,5873049
17,dbca,-3,7455512
17,dbca,-1,8396281
17,dbca,1,8396281
17,dbca,3,7455512
17,dbca,5,5873049
17,dbca,7,4071123
17,dbca,9,2498028
17,dbca,11,1305128
17,dbca,13,580383
17,dbca,15,208367
17,dbca,17,31705
17,dcab,-17,32291
17,dcab,-15,209582
17,dcab,-13,585200
17,dcab,-11,1295269
17,dcab,-9,2520273
17,dcab,-7,4034702
17,dcab,-5,5904919
17,dcab,-3,7419371
17,dcab,-1,8399255
17,dcab,1,8399255
17,dcab,3,7419371
17,dcab,5,5904919
17,dcab,7,4034702
17,dcab,9,2520273
17,dcab,11,1295269
17,dcab,13,585200
17,dcab,15,209582
17,dcab,17,32291
